CaptureSignal II -  INSA de Lyon - MATEIS / SGM - JF -  2010																					
Utilisateur: 																					
																					
Description: 																					
																					
N?	Date	Heure	Temps (s)	Voie 0 U(V)	Voie 1 I(A)	Voie 2 	Voie 3 	Voie 4 	Voie 5 	Voie 6 	Voie 7 	Voie 0 volts	Voie 1 volts	Voie 2 volts	Voie 3 volts	Voie 4 volts 	Voie 5 volts	Voie 6 volts	Voie 7 volts	Incident n?	Incident txt
35	09/10/2013	09:11:45	3.40	9.0579929	1.3637390	0	0	0	0	0	0	9.076145	1.312368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
36	09/10/2013	09:11:45	3.50	9.0580549	1.3636218	0	0	0	0	0	0	9.076208	1.312254	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
37	09/10/2013	09:11:45	3.60	9.0581083	1.3635660	0	0	0	0	0	0	9.076261	1.312200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
38	09/10/2013	09:11:45	3.70	9.0582170	1.3638370	0	0	0	0	0	0	9.076369	1.312463	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
39	09/10/2013	09:11:45	3.80	9.0583115	1.3638085	0	0	0	0	0	0	9.076465	1.312436	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
40	09/10/2013	09:11:45	3.90	9.0585890	1.3636115	0	0	0	0	0	0	9.076742	1.312244	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
41	09/10/2013	09:11:46	4.00	9.0589390	1.3638611	0	0	0	0	0	0	9.077094	1.312487	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
42	09/10/2013	09:11:46	4.10	9.0593042	1.3636715	0	0	0	0	0	0	9.077459	1.312302	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
43	09/10/2013	09:11:46	4.20	9.0599346	1.3638153	0	0	0	0	0	0	9.078092	1.312442	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
44	09/10/2013	09:11:46	4.30	9.0600796	1.3633884	0	0	0	0	0	0	9.078236	1.312028	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
45	09/10/2013	09:11:46	4.40	9.0605755	1.3636615	0	0	0	0	0	0	9.078733	1.312293	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
46	09/10/2013	09:11:46	4.50	9.0605345	1.3638331	0	0	0	0	0	0	9.078691	1.312459	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
47	09/10/2013	09:11:46	4.60	9.0603123	1.3636878	0	0	0	0	0	0	9.078469	1.312318	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
48	09/10/2013	09:11:46	4.70	9.0599537	1.3637909	0	0	0	0	0	0	9.078110	1.312418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
49	09/10/2013	09:11:46	4.80	9.0595779	1.3637938	0	0	0	0	0	0	9.077733	1.312421	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
50	09/10/2013	09:11:46	4.90	9.0594234	1.3639096	0	0	0	0	0	0	9.077579	1.312534	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
51	09/10/2013	09:11:47	5.00	9.0593624	1.3639686	0	0	0	0	0	0	9.077518	1.312591	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
52	09/10/2013	09:11:47	5.10	9.0594711	1.3637267	0	0	0	0	0	0	9.077626	1.312356	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
53	09/10/2013	09:11:47	5.20	9.0597572	1.3639328	0	0	0	0	0	0	9.077913	1.312556	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
54	09/10/2013	09:11:47	5.30	9.0598640	1.3638639	0	0	0	0	0	0	9.078020	1.312489	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
55	09/10/2013	09:11:47	5.40	9.0599813	1.3638010	0	0	0	0	0	0	9.078137	1.312428	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
56	09/10/2013	09:11:47	5.50	9.0600996	1.3636409	0	0	0	0	0	0	9.078257	1.312273	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
57	09/10/2013	09:11:47	5.60	9.0601816	1.3637002	0	0	0	0	0	0	9.078339	1.312330	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
58	09/10/2013	09:11:47	5.70	9.0602846	1.3639176	0	0	0	0	0	0	9.078442	1.312541	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
59	09/10/2013	09:11:47	5.80	9.0603952	1.3637211	0	0	0	0	0	0	9.078552	1.312351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
60	09/10/2013	09:11:47	5.90	9.0605106	1.3640498	0	0	0	0	0	0	9.078669	1.312670	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
61	09/10/2013	09:11:48	6.00	9.0607204	1.3640171	0	0	0	0	0	0	9.078878	1.312638	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
62	09/10/2013	09:11:48	6.10	9.0609407	1.3640647	0	0	0	0	0	0	9.079099	1.312684	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
63	09/10/2013	09:11:48	6.20	9.0610418	1.3639359	0	0	0	0	0	0	9.079200	1.312559	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
64	09/10/2013	09:11:48	6.30	9.0612097	1.3641599	0	0	0	0	0	0	9.079368	1.312777	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
65	09/10/2013	09:11:48	6.40	9.0614100	1.3641403	0	0	0	0	0	0	9.079569	1.312757	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
66	09/10/2013	09:11:48	6.50	9.0614042	1.3639796	0	0	0	0	0	0	9.079563	1.312601	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
67	09/10/2013	09:11:48	6.60	9.0614233	1.3640594	0	0	0	0	0	0	9.079583	1.312679	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
68	09/10/2013	09:11:48	6.70	9.0616264	1.3638035	0	0	0	0	0	0	9.079786	1.312431	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
69	09/10/2013	09:11:48	6.80	9.0617323	1.3641230	0	0	0	0	0	0	9.079892	1.312741	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
70	09/10/2013	09:11:48	6.90	9.0618076	1.3639997	0	0	0	0	0	0	9.079967	1.312621	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
71	09/10/2013	09:11:49	7.00	9.0617666	1.3639574	0	0	0	0	0	0	9.079926	1.312580	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
72	09/10/2013	09:11:49	7.10	9.0619125	1.3639984	0	0	0	0	0	0	9.080072	1.312620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
73	09/10/2013	09:11:49	7.20	9.0619574	1.3642670	0	0	0	0	0	0	9.080118	1.312881	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
74	09/10/2013	09:11:49	7.30	9.0621004	1.3638252	0	0	0	0	0	0	9.080261	1.312452	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
75	09/10/2013	09:11:49	7.40	9.0621510	1.3638920	0	0	0	0	0	0	9.080312	1.312516	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
76	09/10/2013	09:11:49	7.50	9.0622463	1.3640351	0	0	0	0	0	0	9.080407	1.312655	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
77	09/10/2013	09:11:49	7.60	9.0623903	1.3640395	0	0	0	0	0	0	9.080552	1.312660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
78	09/10/2013	09:11:49	7.70	9.0625200	1.3640990	0	0	0	0	0	0	9.080682	1.312717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
79	09/10/2013	09:11:49	7.80	9.0625029	1.3640279	0	0	0	0	0	0	9.080665	1.312648	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
80	09/10/2013	09:11:49	7.90	9.0624762	1.3640766	0	0	0	0	0	0	9.080637	1.312696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
81	09/10/2013	09:11:50	8.00	9.0624151	1.3639737	0	0	0	0	0	0	9.080576	1.312596	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
82	09/10/2013	09:11:50	8.10	9.0622044	1.3642820	0	0	0	0	0	0	9.080365	1.312895	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
83	09/10/2013	09:11:50	8.20	9.0622587	1.3641586	0	0	0	0	0	0	9.080420	1.312775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
84	09/10/2013	09:11:50	8.30	9.0623102	1.3639898	0	0	0	0	0	0	9.080471	1.312612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
85	09/10/2013	09:11:50	8.40	9.0625019	1.3640113	0	0	0	0	0	0	9.080663	1.312632	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
86	09/10/2013	09:11:50	8.50	9.0626297	1.3638836	0	0	0	0	0	0	9.080791	1.312508	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
87	09/10/2013	09:11:50	8.60	9.0627689	1.3640339	0	0	0	0	0	0	9.080932	1.312654	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
88	09/10/2013	09:11:50	8.70	9.0631247	1.3642229	0	0	0	0	0	0	9.081287	1.312838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
89	09/10/2013	09:11:50	8.80	9.0631475	1.3639861	0	0	0	0	0	0	9.081310	1.312608	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
90	09/10/2013	09:11:50	8.90	9.0632849	1.3639206	0	0	0	0	0	0	9.081448	1.312544	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
